beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.96875,0.34375,0.28125,0.21875,0.78125,0.53125,0.28125,727.0,3125.0,2011.0,1957.0,1701.0,465.0,9986.0
0.96875,0.34375,0.59375,0.21875,0.78125,0.53125,0.28125,794.0,3181.0,1951.0,1909.0,1749.0,413.0,9997.0
0.96875,0.34375,0.28125,0.03125,0.78125,0.53125,0.28125,778.0,3202.0,1945.0,1959.0,1676.0,434.0,9994.0
0.96875,0.34375,0.28125,0.21875,0.90625,0.53125,0.28125,789.0,3213.0,1983.0,1860.0,1716.0,430.0,9991.0
0.96875,0.34375,0.28125,0.21875,0.78125,0.09375,0.28125,833.0,2667.0,1916.0,1962.0,1671.0,412.0,9461.0
0.96875,0.34375,0.28125,0.21875,0.78125,0.53125,0.65625,828.0,2873.0,1936.0,1759.0,1669.0,386.0,9451.0
0.96875,0.34375,0.28125,0.21875,0.78125,0.53125,0.28125,824.0,3263.0,1957.0,1899.0,1634.0,407.0,9984.0
0.21875,0.84375,0.09375,0.53125,0.40625,0.59375,0.15625,761.0,2573.0,1919.0,1941.0,1694.0,425.0,9313.0
0.46875,0.84375,0.09375,0.53125,0.40625,0.59375,0.15625,761.0,2573.0,1919.0,1941.0,1694.0,425.0,9313.0
0.21875,0.84375,0.09375,0.53125,0.40625,0.59375,0.15625,586.0,961.0,1812.0,1145.0,1757.0,379.0,6640.0
0.21875,0.84375,0.78125,0.53125,0.40625,0.59375,0.15625,690.0,1526.0,1817.0,1416.0,1760.0,366.0,7575.0
0.21875,0.84375,0.09375,0.71875,0.40625,0.59375,0.15625,816.0,2779.0,1999.0,1771.0,1674.0,443.0,9482.0
0.21875,0.84375,0.09375,0.53125,0.28125,0.59375,0.15625,755.0,1604.0,1913.0,1464.0,1691.0,411.0,7838.0
0.21875,0.84375,0.09375,0.53125,0.40625,0.03125,0.15625,748.0,2095.0,1869.0,1637.0,1675.0,408.0,8432.0
0.21875,0.84375,0.09375,0.53125,0.40625,0.59375,0.78125,755.0,1604.0,1913.0,1464.0,1691.0,411.0,7838.0
0.21875,0.84375,0.78125,0.71875,0.28125,0.03125,0.78125,548.0,224.0,1795.0,579.0,1616.0,266.0,5028.0
0.46875,0.84375,0.78125,0.71875,0.28125,0.03125,0.78125,727.0,3125.0,2011.0,1957.0,1701.0,465.0,9986.0
0.46875,0.84375,0.09375,0.71875,0.28125,0.03125,0.78125,794.0,3181.0,1951.0,1909.0,1749.0,413.0,9997.0
0.46875,0.84375,0.78125,0.53125,0.28125,0.03125,0.78125,761.0,2573.0,1919.0,1941.0,1694.0,425.0,9313.0
0.46875,0.84375,0.78125,0.71875,0.40625,0.03125,0.78125,778.0,3202.0,1945.0,1959.0,1676.0,434.0,9994.0
0.46875,0.84375,0.78125,0.71875,0.28125,0.59375,0.78125,789.0,3213.0,1983.0,1860.0,1716.0,430.0,9991.0
0.46875,0.84375,0.78125,0.71875,0.28125,0.03125,0.15625,833.0,2667.0,1916.0,1962.0,1671.0,412.0,9461.0
0.46875,0.84375,0.78125,0.71875,0.28125,0.03125,0.78125,833.0,2667.0,1916.0,1962.0,1671.0,412.0,9461.0
